Acc_x,Acc_y,Acc_z
0.88,0.01,-0.46
0.88,0.01,-0.46
0.87,0.01,-0.46
0.87,0.01,-0.46
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.44
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.02,-0.44
0.88,0.02,-0.45
0.87,0.03,-0.45
0.87,0.03,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.02,-0.45
0.87,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.87,0.02,-0.45
0.87,0.01,-0.44
0.88,0.01,-0.44
0.88,0.02,-0.44
0.88,0.02,-0.45
0.88,0.01,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.87,0.01,-0.44
0.88,0.02,-0.44
0.88,0.02,-0.45
0.87,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.01,-0.44
0.87,0.01,-0.44
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.87,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.44
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.44
0.87,0.02,-0.45
0.88,0.02,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0,-0.45
0.88,0,-0.46
0.88,0,-0.46
0.88,0,-0.46
0.88,0,-0.46
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.44
0.87,0.01,-0.44
0.87,0.02,-0.45
0.87,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0,-0.46
0.88,0.01,-0.46
0.88,0.01,-0.45
0.88,0.01,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.02,-0.45
0.88,0.01,-0.44
0.88,0.01,-0.44
0.88,0.01,-0.44
0.88,0.01,-0.44
0.87,0.01,-0.44
0.87,0.02,-0.44
0.88,0.02,-0.44
0.88,0.01,-0.45
0.88,0.01,-0.45
